Form,instanceID,Column,Operation,Set To,Notes (If Operation = Others),Submitted By,Resolution Details,Status
registration,uuid:4393441c-6cd8-4971-93c1-6b4c0c81de1f,wid,SET,2042,,Isaiah,Anomalies Resolution 1,Done
registration,uuid:7c900d1a-909e-4e39-b2dd-001ac334479e,wid,DELETE,,,Isaiah,Anomalies Resolution 1,Done
registration,uuid:77b61879-8cd5-4d55-b4e5-ed7256cd97bc,wid,SET,2028,,Isaiah,Anomalies Resolution 1,Done
registration,uuid:b57d075b-270d-4827-85fc-0f0a374605c9,wid,SET,2011,,Isaiah,Anomalies Resolution 1,Done
registration,uuid:3757f2b9-271b-4ff9-ba42-3aa432b1fd60,wid,SET,2045,,Isaiah,Anomalies Resolution 1,Done
registration,uuid:dc005579-ce38-4ecf-8312-f36402611dd8,wid,DELETE,,,Isaiah,Anomalies Resolution 1,Done
registration,uuid:9a7bc546-d66b-46ce-afe5-b8d2143620c0,wid,DELETE,,,Isaiah,Anomalies Resolution 1,Done
registration,uuid:7c624b87-f10e-46e4-a17c-c47d8b426d44,wid,DELETE,,,Isaiah,Anomalies Resolution 1,Done
registration,uuid:ac320253-68ad-4003-949d-58411518ba41,wid,DELETE,,,Isaiah,Anomalies Resolution 1,Done
registration,uuid:ab4013f7-7091-43df-9285-7486a0a84f94,wid,DELETE,,,Isaiah,Anomalies Resolution 1,Done
registration,uuid:66dcc3ef-4d6b-4ef6-9b24-f4d36c3a565b,wid,DELETE,,,Isaiah,Anomalies Resolution 1,Done
registration,uuid:2f6c94a0-b7e9-47a8-b7e6-f9aae412cdc8,wid,DELETE,,,Isaiah,Anomalies Resolution 1,Done
registration,uuid:80bcc2de-56f9-44c4-8dfc-70c90cd43dfa,wid,DELETE,,,Isaiah,Anomalies Resolution 1,Done
registration,uuid:43c8f5f5-7f9a-4cf1-8d9c-67128cf80ab8,wid,DELETE,,,Isaiah,Anomalies Resolution 1,Done
registration,uuid:4f6cc00e-ff06-4daf-b16c-595a585bf74c,wid,DELETE,,,Isaiah,Anomalies Resolution 1,Done
registration,uuid:a5e72155-dab4-486f-87f9-104d004e8a22,wid,DELETE,,,Isaiah,Anomalies Resolution 1,Done
registration,uuid:91c0d545-5a3d-48e3-822c-170701ffe509,wid,DELETE,,,Isaiah,Anomalies Resolution 1,Done
household,uuid:83bbf26c-bf79-4049-b106-38f74dc4e485,hh_id,SET,AD-257,,Eldo,Anomalies Resolution 2,Done
household,uuid:604fb011-d2ef-4dda-affe-5b85d3c183bd,hh_id,SET,AD-217,,Eldo,Anomalies Resolution 2,Done
household,uuid:6d3c9ad3-78fb-4ec8-954f-1ad0bbde52a6,hh_id,SET,AD-227,,Eldo,Anomalies Resolution 2,Done
household,uuid:49ade55f-c78c-4294-ace6-27db43ca74c1,hh_id,SET,AD-503,,Eldo,Anomalies Resolution 2,Done
household,uuid:999cc19d-021c-4a90-bda1-5e925c9b23ff,hh_id,SET,AD-502,,Eldo,Anomalies Resolution 2,Done
household,uuid:f78431fc-f6e6-4195-a15d-55a31650281c,hh_id,SET,AD-504,,Eldo,Anomalies Resolution 2,Done
household,uuid:8f3324d5-a4b8-4b09-a12d-2d52f96e3231,hh_id,SET,AD-505,,Eldo,Anomalies Resolution 2,Done
household,uuid:dbc9607b-a5fd-4e91-aa2a-522582e95423,hh_id,SET,AD-506,,Eldo,Anomalies Resolution 2,Done
household,uuid:cd882e2a-104e-4359-8f4c-64259e5f1558,hh_id,SET,AD-507,,Eldo,Anomalies Resolution 2,Done
household,uuid:7014d4b4-cab2-4b82-9d7d-2751a601350d,hh_id,SET,AD-508,,Eldo,Anomalies Resolution 2,Done
household,uuid:23ec9239-190f-426d-9738-a45cb43b5040,hh_id,SET,AA-667,,Eldo,Anomalies Resolution 2,Done
household,uuid:e27419a1-24eb-45f2-a49c-384cc771112f,hh_id,SET,AA-708,,Eldo,Anomalies Resolution 2,Done
household,uuid:fad18375-0351-4ec2-b71e-89b1457f00bd,hh_id,SET,AA-710,,Eldo,Anomalies Resolution 2,Done
household,uuid:588631f6-f5c4-4e1d-9dca-f347513357e9,hh_id,SET,AA-709,,Eldo,Anomalies Resolution 2,Done
household,uuid:fc540424-51ba-4214-8357-64e31529c667,hh_id,SET,AK-838,,Eldo,Anomalies Resolution 2,Done
household,uuid:0a2c6287-758e-40f2-b353-535d93631080,hh_id,SET,AM-245,,Eldo,Anomalies Resolution 2,Done
household,uuid:5d76c976-d4f2-46f7-9183-29eb4498e6dc,hh_id,SET,AC-614,,Eldo,Anomalies Resolution 2,Done
household,uuid:2941ee91-343a-4090-b6b5-c16138cfcd0b,hh_id,SET,AC-701,,Eldo,Anomalies Resolution 2,Done
household,uuid:c5a24774-1a1b-4ab9-9fac-bb63e26e9b49,hh_id,SET,AC-702,,Eldo,Anomalies Resolution 2,Done
